date,machine,dai,url,totalStarts,jackpot,continuations,initialHits,maxPayout,existingEstimatedDiffBalls,diffBallsFromApi,diffBallsFromSvg,diffBallsFinal,diffBallsMethod,diffBallsConfidence,graphEndpointUsed,graphPointCount,graphLastPointRaw,graphZeroLine,graphScaleInfo,fetchStatus,httpStatus,errorType,errorMessage,notes
2026-06-16,P新世エヴァ15未来への咆哮,0194,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0194,0,0,0,0,0,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=skipped_no_jackpot, histRows=0, update="
2026-06-16,P新世エヴァ15未来への咆哮,0195,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0195,2233,18,15,3,14650,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=2233 | maxPayout: today=0, 1d_ago=14650"
2026-06-16,P新世エヴァ15未来への咆哮,0196,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0196,348,0,0,0,20,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=skipped_no_jackpot, histRows=0, update="
2026-06-16,P新世エヴァ15未来への咆哮,0197,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0197,969,3,2,1,3210,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=969 | maxPayout: today=0, 1d_ago=3210"
2026-06-16,P新世エヴァ15未来への咆哮,0198,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0198,1666,6,3,3,4580,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=1666 | maxPayout: today=0, 1d_ago=4580"
2026-06-16,P新世エヴァ15未来への咆哮,0199,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0199,725,5,2,3,4200,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=725 | maxPayout: today=10, 1d_ago=4200"
2026-06-16,P新世エヴァ15未来への咆哮,0200,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0200,1695,16,13,3,18360,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=1695 | maxPayout: today=0, 1d_ago=18360"
2026-06-16,P新世エヴァ15未来への咆哮,0201,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0201,1308,10,6,4,7470,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=1308 | maxPayout: today=0, 1d_ago=7470"
2026-06-16,P新世エヴァ15未来への咆哮,0202,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0202,1695,7,3,4,4600,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=1695 | maxPayout: today=0, 1d_ago=4600"
2026-06-16,P新世エヴァ15未来への咆哮,0203,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0203,2643,30,27,3,30360,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=2643 | maxPayout: today=0, 1d_ago=30360"
2026-06-16,P新世エヴァ15未来への咆哮,0204,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0204,1478,8,6,2,7790,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=1478 | maxPayout: today=0, 1d_ago=7790"
2026-06-16,P新世エヴァ15未来への咆哮,0205,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0205,1202,5,2,3,3210,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=1202 | maxPayout: today=0, 1d_ago=3210"
2026-06-16,P新世エヴァ15未来への咆哮,0206,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0206,1198,5,2,3,3220,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=1198 | maxPayout: today=0, 1d_ago=3220"
2026-06-16,P新世エヴァ15未来への咆哮,0207,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0207,1603,2,0,2,430,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=1603 | maxPayout: today=0, 1d_ago=430"
2026-06-16,P新世エヴァ15未来への咆哮,0208,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0208,1133,3,2,1,3210,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=1133 | maxPayout: today=0, 1d_ago=3210"
